question,answer
The Candlemass Road,"'The Candlemass Road' is a simple tale, beautifully told; and very moving withal! It's an afternoon's reading that'll stick in the memory for long afterwards. Hooray for George Macdonald Fraser!' SPECTATOR  'It's George MacDonald Fraser is top form on the Borders, juggling lairds and outlaws in bitter battling over disputed territory.' MAIL ON SUNDAY, 'Books of the Year'  'A bravura performance! fine, taut, sinewy! Meat never came redder.' DAILY TELEGRAPH  'George MacDonald Fraser is such a good storyteller! we get bowled along in the twists and scrapes of the action.' GLASGOW HERALD--This text refers to an out of print or unavailable edition of this title."
Quartered Safe Out Here: A Recollection of the War in Burma,"""There is no doubt that it is one of the great personal memoirs of the Second World War.""  --John Keegan&#8220;Fraser manages to capture the flavor of his comrades while so vividly portraying the grittiness of combat.&#8221;   --The Historical Novel Society--This text refers to an out of print or unavailable edition of this title."
Taken at the Flood (Agatha Christie Collection),"Hercule Poirot fans will be pleased to hear Hugh Fraser, who plays Captain Hastings on PBS'sMystery!and A&amp;E'sPoirot, recount Christie's intriguing 1948 novel (published in the U.S. asThere Is a Tide). The celebrated Belgian sleuth visits the sleepy English village of Warmsley Vale to check into the background of Gordon Cloade, supposedly a victim of the London Blitz. He had wed an attractive young widow, the former Mrs. Underhay, now the sole possessor of the Cloade family fortune. The deceased's sister-in-law told Poirot that ""spirits"" informed her that the widow's first husband is still among the living, raising suspicions about Cloade's demise. Fraser's tone at once reassures listeners that, just as on television, they are in capable hands. He does a fine job creating a variety of character voices, distinguishing one from another with clarity but without excessive flamboyance. The release of any Christie is an event, and it does not taken an abundance of ""little gray cells"" to deduce that this audio will be well-received.(June)Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.--This text refers to an out of print or unavailable edition of this title."
The Steel Bonnets: The Story of the Anglo-Scottish Border Reivers,"""A remarkably successful book on a fascinating subject, well  organized and well written.""--Time's Literary Supplement"
Gardening With Old Roses,"Long neglected, antique roses with their extravagantly blowzy flowers, quite unlike the tight-petaled blooms of their modern cousins, hybrid teas, are deservedly enjoying renewed popularity. These two titles by British rosarians are evidence of this trend. Scarman, owner of an English nursery that specializes in old-fashioned varieties, presents a beautifully illustrated directory of 150 roses as well as chapters on plant design, companion planting (with examples of innovative combinations), and basic care. Although Beales, a commercial rose grower and daughter of renowned old-rose specialist Peter Beales, intended her Rose Basics as a general guide to growing all types of roses, she features many heirloom roses worthy of cultivation. Particularly useful is the chapter on roses for difficult conditions, such as shade and poor soil; such information is often neglected in basic rose culture guides. Because both of these titles were written for a British audience, they lack specific critical advice for American gardeners, i.e., appropriate rose selection and care for the highly diverse climatic regions of the United States. For such information, readers should turn to Rayford Reddell's A Year in the Life of a Rose: A Guide to Growing Roses from Coast to Coast (LJ 11/15/96) or Judith McKeon's Encyclopedia of Roses: An Organic Guide to Growing America's Favorite Flower (LJ 9/1/95). Nevertheless, these new titles should be included in general gardening collections.ABrian Lym, City Coll. Lib. of San FranciscoCopyright 1999 Reed Business Information, Inc."
Winning with Watercolour: Tips and Techniques for Atmospheric Paintings,"In ""Winning with Watercolor,"" artist Trevor Waugh reveals the secrets of creating watercolors that are visually exciting and full of atmosphere. He identifies the five key skills and qualities that he believes you should look for in successful watercolor painting--large washes, transparency, wet-into-wet, soft darks and lights, and bold brushwork--and fully explains how these can be achieved. Above all, he stresses the vital role of color and light. With expert advice on techniques, sketching, color, and composition, the book also includes: useful checklists highlighting points to remember when painting specific subjects; a discussion of popular subjects, including landscapes, flowers, figures, and animals; step-by-step paintings of a variety of subjects; and a lavish selection of the author's own stunning work."
Chinese Brush (Learn to Paint),Jane Evans has been teaching Chinese brush painting for many years and regularly runs courses and workshops which are always popular with students. She has written two other books for HarperCollins -- Chinese Brush Painting and Landscape Painting with a Chinese Brush (both OP) -- and has also made a teaching video.
Jane's Battleships of the 20th Century,"The greatest arms race in history began in the first years of  the 20th century as World Powers expanded their fleets. Germany  challenged the Royal Navy's global dominance, the U.S. and Japan  established themselves as major naval powers. The revolutionaryHMS  Dreadnoughtwas succeeded by even larger and more powerful warships  that clashed spectacularly at the battle of Jutland in 1916. Plans for  a new generation of &#39;super dreadnoughts&#39; were delayed by  international treaties, but Japanese ambitions eventually led to a new  arms race with the U.S.. This naval race produced the world&#39;s  largest and most heavily-armed battleships, like theYamotoandOwa. Combat experience in World War II soon revealed that  submarines and aircraft posed a lethal threat to even the greatest  battleship. Only the U.S. Navy had the resources to maintain a  battleship force after 1945, and these mighty warships have attached  enemy coasts from Vietnam and the Lebanon to the 1991 Gulf War.Acclaimed naval illustrator Tony Gibbons has painted all classes of  twentieth century battleship forJane&#39;s Battleships of the 20th  Century. Every major battleship is shown in profile, with the 25  greatest battleships illustrated across the full width of the page,  with accompanying plan and bow views.Naval historian Bernard  Ireland reveals the fascinating background to each class of battleship.  Each entry includes comprehensive technical data. Special features  investigate what happened when battleships opened fire: Why British  battle cruisers were so vulnerable to German shellfire, how American  radar helpedUSS Washingtonsink theKirishimanoff  Guadalcanal and when was theBismarckdoomed to die."
Jane's Fighter Combat in the Jet Age,"Fighter Combat in the Jet Agecovers the entire history  of jet fighters in action, from the end of World War II to the present.  Meticulously detailed, it features 300 photos, line drawings and graphs  that reveal how jet fighters and their weapons have developed and  improved, utterly changing the face of air combat. It also focuses on  the key technological developments of the Cold War, such as the  fighters built to intercept nuclear bombers and to dominate European  skies in a Third World War.With combat examples from Southeast  Asia, the Falklands and the Middle East,Fighter Combatin  the Jet Agecompares and contrasts the fighter aircraft of  different nations and manufacturers. Also included are spreads with  sidebars and boxes describing fighter tactics, major air battles,  experimental weapons and famous pilots. It's enough to thrill aircraft  enthusiasts of all ages."
Someone Else's War,"Why would a soldier fight someone else's war? Is it the money, or a desire to help the underdog? Or is a fire fight the ultimate thrill? Based on extensive interviews with mercenaries of many nationalities,Someone Else's Warreveals the motivations of these modern ""soldiers of fortune"" and the incredible risks they take. The book first looks at how white mercenaries came to play a key role in the struggle for the Congo in the 1960s, and how the end of the war in Vietnam coincided with the start of the war in Rhodesia, attracting a new generation of mercenary soldiers. The story moves on from the Angolan debacle of 1976, to a succession of operations in Africa and South America, and on to the Balkan conflict. Written by a former mercenary, this hard-hitting account shoots down the Hollywood stereotypes.--This text refers to an out of print or unavailable edition of this title."
Jane's Warship Recognition Guide (Jane's Warships Recognition Guide),"Formerly publisher of Jane's Fighting Ships, Robert Hutchinson is a leading expert on military and naval subjects."
Collins Gem Latin Dictionary: Second Edition (Collins Language),"HarperCollins Publishers is one of the world's leading English-language publishers with headquarters in New York. The company is part of News America Publishing Group, a division of News Corporation. The house of Mark Twain, the Bronte Sisters, Thackeray, Dickens, John F. Kennedy, Martin Luther King, Jr. and Maurice Sendak, HarperCollins was founded in New York City in 1817 by the brothers James and John Harper. The worldwide book group, which was formed following News Corporation's acquisition of the British publisher William Collins in January 1990, has significant publishing interests in the U.S., Canada, the U.K. and Australia."
Jane's War at Sea 1897-1997: 100 Years of Jane's Fighting Ships,"David C. Isby is a Washington-based attorney and defense consultant. A special correspondent forJane's Intelligence Review,he has contributed to many military and aviation publications and written extensively on the Russian armed forces. He lives in Washington D.C."
Jane's How to Fly and Fight in the F-14 Tomcat (At the Controls),"David C. Isby is a Washington-based attorney and defense consultant. A special correspondent forJane's Intelligence Review,he has contributed to many military and aviation publications and written extensively on the Russian armed forces. He lives in Washington D.C."
"Collins Gem Portuguese Dictionary English-Portuguese, Portuguese-English, Pocket size","Text: English, Portugese"
Jane's Historic Military Aircraft Recognition Guide (Jane's Recognition Guides),"Bernard Ireland has written may books on warships and naval includingWar at Sea 1897-1997, Battleships of the 20th Century, The Mediterranean Campaign 1940-1943, Cruisers and Warships of World War II."
Jane's MIG-29: At the Controls (Jane's at the Controls),"David C. Isby is a Washington-based attorney and defense consultant. A special correspondent forJane's Intelligence Review,he has contributed to many military and aviation publications and written extensively on the Russian armed forces. He lives in Washington D.C."
Jane's How to Fly and Fight in the F/A-18 Hornet (Jane's at the Controls),"David C. Isby is a Washington-based attorney and defense consultant. A special correspondent forJane's Intelligence Review,he has contributed to many military and aviation publications and written extensively on the Russian armed forces. He lives in Washington D.C."
Silly Songs: 18 Wholesome Fun Songs for Kids [VHS],"18 Music Videos for Kids: Do Your Ears Hang Low; Wise Man and the Foolish Man; Rocka My Soul; Skinny Marinky Dinky Dink; Dry Bones; Polly-Wolly-Doodle; Who Did (Swallow Jonah); Fingers, Nose and Toes; Michael Finnigan; The Bear Went Over the Mountain; Oh, You Can't Get to Heaven; S-m-i-l-e; Who Built the Ark; Bingo; I Got Shoes; John Jacob Jingleheimer Schmidt; Looby Loo; There's a Hole in the Bucket."
The Diary of Samuel Pepys: 1660,"'The Latham-Matthews transcription of Pepys' Diary is one of the glories of contemporary English publishing.' The Times  'The pleasure of Pepys -- of reading him -- is his own pleasure in experience! Pepys' Diary is the cheerful self-report, not of the man eminent in naval history, not of the historical witness, but of the unobjectionable hedonist.' Guardian  'Here, in one of the finest feats in all the long history of scholarship, is Pepys' Diary, once and for all. Exegi monumentum aere perennius.' Observer  'The editors have achieved the impossible! one can now read the Diary perfectly easily, month by month, year by year! here at last is a really learned edition where the learning is put at the disposal of the layman.' New Statesman  'It isn't often that one encounters a publication -- especially of this magnitude -- which achieves complete perfection, but there is no doubt that this does.' Sir Arthur Bryant"
Toddler Tunes [VHS],VHS Tape
An American Christmas Carol [VHS],"In Depression-era New England, a miserly businessman named Benedict Slade receives a long-overdue attitude adjustment one Christmas eve when he is visited by three ghostly figures who resemble three of the people whose possessions Slade had seized to collect on unpaid loans. Assuming the roles of the Ghosts of Christmas Past, Present, and Future from Charles Dickens' classic story, the three apparitions force Slade to face the consequences of his skinflint ways, and he becomes a caring, generous, amiable man."
Jane's Guns Recognition Guide,Ian V. Hogg has recently retired from Jane's Information Group. He edited their Infantry Weapons yearbook for many years and is the author of over 70 books on small arms as well as countless magazine aritlces. He lives in the UK.
Collins Bible Handbook,"Text: English, French (translation)"
Songs Of Stamps Baxter - Volume 1,"Founded in 1947, Hal Leonard Corporation has become the worlds largest print music publisher, representing some of the greatest songwriters and artists of all time. We are proud to publish titles of interest to all musicians as well as music lovers, from songbooks and instructional titles to artist biographies and instrument price guides to books about the music industry and all the performing arts."
A Gift of Hope,"The central theme here--that hope endures despite crisis--is standard for the genre, but Melendez's story, from his Nicaraguan birth as an armless ""thalidomide baby"" to his musical performance before Pope John Paul II, is told with real power. The family's struggles, the move to America for medical reasons, his mother's single-minded faith, and his father's tragic disintegration under prejudice and oppression--all come vividly to life. Most moving of all is Tony's own stubborn joie de vivre. A shining tale, highly recommended.Copyright 1989 Reed Business Information, Inc.--This text refers to theHardcoveredition."
Meditating As a Christian: Waiting upon God,"The theory, practice, and biblical origins of Christian  meditation."
Bless My Little Girl,Book by
The Long Ships: A Saga of the Viking Age,"""The literary equivalent of an action- and intrigue-filled adventure movie that won't insult your intelligence...Orm is a charismatic character, and Bengtsson is an infectiously enthusiastic and surprisingly funny writer &#x2014; even readers with zero interest in the Europe of a millennium ago will want to keep turning the pages. All novels should be so lucky as to age this well."" --NPR ""A household name in Scandinavian literature since its publication during World War II, the title&#xA0;""The Long Ships""&#xA0;is recognizable to English-speakers, if at all, from a tenuously related 1964 epic with Sidney Poitier.&#xA0;New York Review Books reckons to remedy that with this 500-page hunk chronicling 20 years in the life of Red Orm,&#xA0;a son of Skania, born during the reign of Harald Bluetooth, who first goes a-viking as a teen....And&#xA0;if the company of so many burly, bearded heroes can weary, Bengtsson's clear-eyed witnessing of a new world dawning does not.""&#xA0;""&#x2014;L"
Friedrich Schleiermacher: Pioneer of Modern Theology (Making of Modern Theology),Text: English (translation)Original Language: German--This text refers to thePaperbackedition.
Lion Triumphant,"Set in Elizabethan England during the war between Spain and England, this is a tangled tale of love, revenge and pride. Marie McCarthy makes Carr's characters come alive. She switches easily from Spanish to French to British accents.  M.B.K.  (c)AudioFile, Portland, Maine--This text refers to theAudio Cassetteedition."
Ice Station Zebra,'A thoroughly professional cliff-hanger' Sunday Telegraph
Breakheart Pass,'Explodes with action' The Mirror 'Alistair MacLean is a magnificent storyteller' Sunday Mirror
Karl Barth: Theologian of Freedom (The Making of Modern Theology),Text: English (translation)Original Language: German--This text refers to thePaperbackedition.
HMS &quot;Ulysses&quot;,"'A brilliant, overwhelming piece of descriptive writing.' Observer 'A story of exceptional courage which grips the imagination.' Daily Telegraph 'It deserves an honourable place among 20th-century war books.' Daily Mail 'HMS Ulysses is in the same class as The Cruel Sea.' Evening Standard"
Where Eagles Dare,"'A real humdinger. The best MacLean.' Daily Mirror 'There is a splendid audacity about Where Eagles Dare, in which a handful of British agents invade an ""impenetrable"" Gestapo command post ... MacLean offers a real dazzler of a thriller, with vivid action, fine set pieces of suspense and a virtuoso display of startling plot twists.' New York Times"
The White South,"""Mr Innes tells his tale with a graphic power... An adventure story indeed, but worth ten of most modern novels"" Scotsman ""The White South will be hard to beat. I can still hear the roar of the ice as the great bergs close in upon those stranded men of the whaling fleet"" -- Daphne du Maurier Observer ""Mr. Innes was a marvellous storyteller"" Observer ""Mr Innes' work stands in a class by itself"" Financial Times--This text refers to an alternatePaperbackedition."
Air Force One is Down (Alistair MacLean's UNACO),'A magnificent storyteller' Sunday Mirror 'The most successful British novelist of his time' Jack Higgins 'Alistar MacLean is one of the few people writing today who has a story to tell.' Daily Express
Warleggan: A Novel of Cornwall 1792 1793/the Fontana,"Winston Graham is the author of more than forty novels, which include Cordelia, Marnie, The Walking Stick and Stephanie as well as the highly successful Poldark series. His novels have been translated into seventeen languages and six have been filmed. Six of Winston Graham's books have been filmed for the big screen, the most notable being Marnie directed by Alfred Hitchcock. Two television series were made of the Poldark novels which were broadcast in twenty-two countries. Winston Graham was a Fellow of the Royal Society of Literature and in 1983 was awarded the OBE. He died in July 2003--This text refers to an alternatePaperbackedition."
Three Women of Liverpool,Praise for Liverpool Miss: 'Records of hardship during the Thirties or earlier are not rare; but this has features that make it stand apart' Observer 'The story of a young girl's courage and perseverance against adversity... warm-hearted and excellent' Manchester Evening News
The General Danced at Dawn,"""Written in the first person, and reading authentically, it purports to record episodes in the life of a young officer, newly commisioned into a Highland regiment after service in the ranks at the very end of the war...Twenty-five years have not dimmed Mr Fraser's recollections of those hectic days of soldiering.  One takes leave of his characters with real and grateful regret."" - Sir Bernard Fergusson, Sunday Times""It's a while since I enjoyed a book so much, and, indeed, once I'd finished it, I felt like starting it all over again'  - Glasgow Evening Times"
The Sheikh and the Dustbin,"""The third McAuslan volume should certainly be among the first books you pack this or any other holiday season"" - The Times""Written with the kind of unaffected vigour which has characterised the greatest British humorists, [these stories] confirm that he can do for the Scots what Flann O'Brien did for the Irish and P.G. Wodehouse for the English"" - Daily Mail"
McAuslan in the Rough,"""Twenty-five years have not dimmed Mr Fraser's recollections of those hectic days of soldiering after the war. Merged with his sense of the ludicrous is a real affection for those with whom he found his lot was cast.  One takes leave of his characters with real and grateful regret"" - Sir Bernard Fergusson, Sunday Times"
Castle Cats,"Richard has been a professional photographer for 30 years, working for leading advertising agencies & magazines. He was also a founder member and artistic director of the Ledbury Poetry Festival. He has lived in Spain for the last five years, writing and photographing articles on monastic and church architecture, in northern Spain. Richard also leads tours of European historical houses. Richard and his family divide their time between London and the Asturian mountains of northern Spain."
Spirit of the Child,"Reviews of the first edition 'This book has rapidly become a classic of children's spirituality. It provides an empirical and a conceptual basis for the idea of relational spirituality, an understanding that is not only of great practical interest to teachers, clergy and parents, but creates the groundwork for a prophetic protest against forces in the modern world that would undermine the natural spirituality of human beings. It is not only refreshingly clear in an area often somewhat confused, but offers original insights into the lives and attitudes of young children.' - John M Hull is Professor of Practical Theology in the Queen's Foundation for Ecumenical Theological Education in Birmingham and Emeritus Professor of Religious Education at the University of Birmingham, England. 'The Spirit of the Child...is currently the seminal book on children's spirituality on the international scene.' - Christian Education Journal 'Very, very impressive.' - Professor Andrew Greeley, University of Chicago [One of best known sociologists of religion in the world, with a US nationally syndicated newspaper column on religion.] 'For many people, this was a ground-breaking research study...many, perhaps most, subsequent research studies made use of their definitions of spirituality and the broad perspective of spirituality that encompasses all children everywhere.' - Professor Don Ratcliff, Toccoa Falls College 'David Hay and Rebecca Nye have done outstanding research in this difficult, yet most important area. Almost all children are born with a spiritual potential, but how are we to recognize its specificity in a given case and how to foster its development - rather than to let it wither away or even corrupt it unwittingly? Reading this volume will help all involved to understand these issues more deeply, and to contribute more to the blossoming of a child's spirituality.' - Professor K. Helmut Reich, School of Consciousness Studies and Sacred Values, Rutherford University 'It is difficult not to be beguiled by Hay's analysis. What might be called its seamless holisticity, its concern to wed the spiritual to practical and altruistic purpose, and its lack of religious dogmatism (despite Hay's professed Roman Catholic affiliation) provide a sophisticated argument for educational and social purposiveness.' - Clive Erricker, Editor, International Journal of Children's Spirituality 'I have just re-read The Spirit of the Child after seven years. It was recently used in a course I taught at General Theological Seminary in New York City. The book is still as fresh and exciting today as it was seven years ago. You cannot ask for a better team of writers to produce such a volume. I have admired David Hay's work since his days at the Alister Hardy Research Centre at Manchester College, Oxford and his wonderful book, Exploring Inner Space. Dr. Hay is a biologist and experienced researcher in this field as well as an insightful commentator who sets the stage for the research described in The Spirit of the Child. He also contributes to the research, and then follows up with some practices that might be used to help children develop spiritually. Dr. Nye, a child psychologist attached to The Divinity School at Cambridge University, is a gifted and insightful researcher with an informed ability and deep intuition for knowing and being with children. As with Piaget, Winnicott and a handful of others the children knew they could talk to Dr. Nye and that they would be understood a --John M Hull is Professor of Practical Theology in the Queen's Foundation for Ecumenical Theological Education in Birmingham'Today I find references to The Spirit of the Child in many different fields, including education theory, human development, psychology and sociology. It is the classic text for exploring spirituality in children, and an enduring resource for present need and future research.' 'The Spirit of the Child...is currently the seminal book on children's spirituality on the international scene.' --Professor David Tacey, La Trobe University, Australia; author of The Spirituality Revolution--This text refers to an alternatePaperbackedition."
Why Am I Afraid to Tell You Who I Am?,"This book by the author of Why Am I Afraid to Love? contains insights on self-awareness, personal growth and communication with others.  Why do people continually hide their real selves from the people around them? Why are so many so insecure and afraid to open up? The answer, explains John Powell, is that maturity is reached by communicating and interacting with others. This book considers the consequences our real self faces if no one else ever finds out what we are like.  In this enduring classic, the companion to Why Am I Afraid to Love?, John Powell explains how to be more emotionally open, and shows how people adopt roles and play psychological games to protect their inner selves. The courage to be our real selves can be developed, and then we can begin to grow.  Now newly designed for a fresh audience, Why Am I Afraid to Tell You Who I Am? is as relevant as it has been for twenty years. With a proven track record, it continues to speak to the needs and aspirations of people today. It is best included in self help sections of general bookshops, but also has a religious appeal."
Being in Love: The Practice of Christian Prayer,"'It is a remarkably open, broad look at prayer... Readers serious about prayer will find a wise guide.' The Tablet 'He is one of the most imaginative and creative writers in the field of spirituality, weaving the insights of the great world religions into a spirituality which is in bracing harmony with the Christian tradition.' Theological Book Review"
Awareness,"De Mello's spiritual classic remains at the top of the Fount bestsellers more than five years after its original publication. One of the most gifted spiritual guides of the 20th century, de Mello uses humour, compassion and insight to help his readers into a real understanding of the importance of ""awareness"" in understanding ourselves and the world around us.  Awareness is a comprehensive spiritual guide filled with wisdom as it tackles life's big questions--love, anger and fear, change, suffering, happiness and loss."
The Golden Rendezvous,"'Alistair MacLeans's best...pure entertainment, wonderfully fast' Daily Telegraph 'MacLean is a master of this kind of action novel. Evening Standard 'In my opinion, his best ever. The pace is dazzling, the sea atmosphere superb' Sunday Express 'Grippingly suspenseful... ends with a supra-titanic bang' Time 'Mr MacLean's grip on his story and characters is superb... His climax is murderous on the nerves' Sunday Telegraph"
Beasts in My Belfry,"""'A hilarious record that no Durrell fan will want to miss' SUNDAY TELEGRAPH 'A loving chronicle... Highly entertaining and informative' THE TIMES""--This text refers to an alternatePaperbackedition."
Lime Street at Two,"'Remarkable that from so bleak and unloving a background came a writer of such affectionate understanding and unsettling honesty' Sunday Telegraph 'What makes this writer's self-told tale so memorable?... An absolute recall, a genius for the unforgettable detail, the rare chance of subject' The Good Book Guide"
Reaching Out,"The Church Times said of Reaching Out  '!wide maturity, full of insight.' The Tablet said that Nouwen was  'particularly good on the whole business of knowing ourselves.' The Church of England Newspaper said that is  'explores areas of spirituality rarely touched on in our evangelical tradition.'--This text refers to an alternatePaperbackedition."
By the Waters of Liverpool,'A fascinating autobiography which has also gained a new topicality! highly gripping and entertaining' Birmingham Post  '!should be long and widely read as an extraordinary human story and social document' Observer
Fern-Seed and Elephants and Other Essays on Christianity,'The magic of his writings shows no abatement... an admirable collection.' Church Times--This text refers to an out of print or unavailable edition of this title.
Rare Air: Michael on Michael,"This slight volume contains little to justify its addition to the already overburdened shelf of books about the basketball legend. Editor Vancil, a sports journalist, uses Jordan's own words to present His Airness as a human superstar who feels pain and pressure like the rest of us. We see images of Jordan on the court, at press conferences, and with fans and team members. With the exception of a few shots of his wife and family, the photos are undistinguished. The text lacks insight and is often pedantic: ""Marriage has given me a whole new perspective on life, particularly life after basketball."" After reading this trivia, we don't know much more about Jordan than when we started. Not recommended.- Ron Chepesiuk, Winthrop Univ. Lib., Rock Hill, S.C.Copyright 1993 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Catch the Fire: The Toronto Blessing an Experience of Renewal and Revival,"The remarkable story of ""The Toronto Blessing"" and the religious  revival that has sparked worldwide curiosity and enthusiasm."
An Autobiography,'Wonderfully easy to read and engrossing.' The Times 'The best thing she has ever written.' Woman's Own 'Agatha Christie's most absorbing mystery - the story of her own unusual life. She has put it all on record: her early romances; a broken (and a happy) marriage; strange events on the path to roaring success.' Daily Mail 'A wonderful book - written with a delight in the gradual unfolding of 75 years through the eyes of an exceptional old lady and writer.' Financial Times
Wanting Everything,"Dorothy Rowe was born in Australia in 1930, and worked as a teacher and child psychologist before coming to England, where she obtained her PhD at Sheffield University. From 1972 until 1986 she was head of Clinical Psychology. She is now engaged in writing, lecturing and research, and is world-renowned for her work on how we communicate and why we suffer. Her books include ""Wanting Everything', ""Beyond Fear' and ""Time On Our Side'."
The Successful Self,"Dorothy Rowe was born in Australia in 1930, and worked as a teacher and child psychologist before coming to England, where she obtained her PhD at Sheffield University. From 1972 until 1986 she was head of Clinical Psychology. She is now engaged in writing, lecturing and research, and is world-renowned for her work on how we communicate and why we suffer. Her books include ""Wanting Everything', ""Beyond Fear' and ""Time On Our Side'."
Dorothy Rowe's Guide to Life,"Dorothy Rowe was born in Australia in 1930, and worked as a teacher and child psychologist before coming to England, where she obtained her PhD at Sheffield University. From 1972 until 1986 she was head of Clinical Psychology. She is now engaged in writing, lecturing and research, and is world-renowned for her work on how we communicate and why we suffer. Her books include ""Wanting Everything', ""Beyond Fear' and ""Time On Our Side'."
Child of the Phoenix,"'Her forte is mood, atmosphere and the toe-curling frisson.' Sunday Times 'Readers of Barbara Erskine are held in thrall' Woman's Realm 'Stephen King meeting Ruth Rendell' Frank Delaney 'Barbara Erskine's storytelling talent is undeniable' The Times--This text refers to thePaperbackedition."
Encounters,"'A marvellous mixture of emotional tales with the emphasis on love.' - Woman's World'Short stories with the ""unputdownable"" quality of a good novel...convincing...an easy, compelling read.' - Eastern Daily Press"
Flux,"'Arthur C. Clarke, Poul Anderson, Isaac Asimov and Robert Heinlein succeeded in doing it, but very few others. Now Stephen Baxter joins their exclusive ranks -- writing science fiction in which the science is right, the author knowledgeable, and the extrapolations a sheer pleasure to read, admire, enjoy. The reaction is that which C.S. Lewis referred to when he described science fiction as the only genuine consciousness-expanding drug. Flux is a highly imaginative and moving novel .. It is a rare thing to find such a good read. Wonderful stuff!' Harry Harrison, New Scientist  'Flux puts Stephen Baxter in the front line of world-spinners.' The Times"
The Real Story (The Gap Series),"The Real Storyis a short but intense tale set in a future in which humans travel between the stars using &quot;gap drives,&quot; controllable brain implants are punishable by death, and a private company called the United Mining Company runs law enforcement for all of known space. Ensign Morn Hyland lives aboard a police ship with most of her family, chasing down pirates and other illegals who prey on the weak or smuggle goods into forbidden space.Through a strange turn of events, one particularly nasty perpetrator ends up with Morn as his companion--or at least that's the way it appears to the folks at the space station's bar. Why would a young, strong, beautiful police officer associate with a crusty, murdering pirate? People watch with interest as Morn appears to fall in lust with another racy illegal, Captain Nick Succorso. Morn and Nick must have plotted together to frame Angus and escape together, right? But therealstory was quite different.--This text refers to an out of print or unavailable edition of this title."
Freedom at Midnight,"'Magnificently enlightening and exciting.' --National Observer, Washington'The song of India...illuminated like scenes in a pageant.' --Time Magazine, New York'Thrilling...staggers the imagination.' --Daily Mail--This text refers to an out of print or unavailable edition of this title."
If Tomorrow Comes,'A master storyteller at the top of his game.' USA Today 'Compulsively readable.' New York Times Book Review 'Sidney Sheldon is a master of giving the public what it wants' Los Angeles Times
"Farther Shores: Exploring How Near-Death, Kundalini and Mystical Experiences Can Transform Ordinary Lives","Yvonne Kason, M.D., was a family physician, a transpersonal psychotherapist and an assistant professor in the Faculty of Medicine at the University of Toronto. She was the founder of the Spiritual Emergency Research and Referral Clinic and a founder and board member of the Kundalini Research Network. Dr. Kason has been a guest on numerous television and radio shows across Canada and the U.S. Her near-death experience has been a re-enacted on ""Sighting,"" as well as in two television documentaries. A recognized international expert on near-death, kundalini and mystical experiences, she is in demand as a lecturer and media resource.--This text refers to an alternatePaperbackedition."
A Good Clean Fight,"A Good Clean Fightfocuses on the British campaign against Rommel in 1942, in particular on one light-armored company's deep reconnaissance of and raids on isolated German airfields--led by the rather daft Jack Lampard--and on Major Paul Schramm, a German intelligence officer, who cleverly tracks the company. We are also introduced to some air squadrons from both sides and their marvelous dogfights. In one tactile scene, a pilot rolls his craft and banks sharply to avoid flak; he ""browns out"" and then finds himself far over the desert, momentarily quite lost. Nonetheless, Schramm and Lampard steal the show, chasing each other, cracking jokes--they are really quite alike, and, seen through their eyes, war is a grim but also a joyous affair. Even the plague of flies that follows these sweating men every step of the way can seem amusing: ""If they followed Lampard rather more faithfully it was not because he was the officer but because he was six foot two and there was more of him to overheat."" Robinson is extremely funny, actually, and subtle, which lifts his writing out of the genre; even so, he's not much interested in causes or in the meaninglessness of war. Of course it's meaningless, he might say. He wants to focus on young men in a great adventure, risking their lives and loving it, playing deadly games with complicated, deadly machinery. ""Men are always killing themselves to prove their manhood,"" says a woman at Paul Schramm's funeral. Precisely.John Mort--This text refers to an out of print or unavailable edition of this title."
The Rampart Worlds: Orion Arm Bk. 2,"'You have to admire the scope of her work' SFX  'A certain crowd pleaser' Kirkus Reviews  'Julian May has irrevocably placed herself among the greats' Asimov's SF Magazine  'A writer of exceptional perception and power' Jean Auel, author of The Clan of the Cave Bear"
Slow Lightning,'The heir to Asimov' MICHAEL SWANWICK
A Piece of Cake,"'An outstanding novelist's brilliantly researched portrait of the war in the air and the men who fought it' Max Hastings. 'The dialogue is convincing, the story is emotionally moving and it contains some of the best descriptions of battle I've read' Time Out. 'Robinson is probably the best novelist ever to write about fighter combat: surprising, hyper-realistic and very, very dark' Spectator.--This text refers to an out of print or unavailable edition of this title."
